team_id	team_name	team_url
26172	A&M-Corpus Christi	http://stats.ncaa.org/team/26172/14781
2	Abilene Christian	http://stats.ncaa.org/team/2/14781
721	Air Force	http://stats.ncaa.org/team/721/14781
8	Alabama	http://stats.ncaa.org/team/8/14781
6	Alabama A&M	http://stats.ncaa.org/team/6/14781
7	Alabama St.	http://stats.ncaa.org/team/7/14781
14	Albany (NY)	http://stats.ncaa.org/team/14/14781
17	Alcorn	http://stats.ncaa.org/team/17/14781
27	Appalachian St.	http://stats.ncaa.org/team/27/14781
29	Arizona	http://stats.ncaa.org/team/29/14781
28	Arizona St.	http://stats.ncaa.org/team/28/14781
2678	Ark.-Pine Bluff	http://stats.ncaa.org/team/2678/14781
31	Arkansas	http://stats.ncaa.org/team/31/14781
30	Arkansas St.	http://stats.ncaa.org/team/30/14781
725	Army West Point	http://stats.ncaa.org/team/725/14781
37	Auburn	http://stats.ncaa.org/team/37/14781
43	Austin Peay	http://stats.ncaa.org/team/43/14781
77	BYU	http://stats.ncaa.org/team/77/14781
47	Ball St.	http://stats.ncaa.org/team/47/14781
51	Baylor	http://stats.ncaa.org/team/51/14781
14927	Belmont	http://stats.ncaa.org/team/14927/14781
61	Bethune-Cookman	http://stats.ncaa.org/team/61/14781
62	Binghamton	http://stats.ncaa.org/team/62/14781
67	Boston College	http://stats.ncaa.org/team/67/14781
71	Bowling Green	http://stats.ncaa.org/team/71/14781
72	Bradley	http://stats.ncaa.org/team/72/14781
80	Brown	http://stats.ncaa.org/team/80/14781
81	Bryant	http://stats.ncaa.org/team/81/14781
83	Bucknell	http://stats.ncaa.org/team/83/14781
87	Butler	http://stats.ncaa.org/team/87/14781
94	CSU Bakersfield	http://stats.ncaa.org/team/94/14781
101	CSUN	http://stats.ncaa.org/team/101/14781
90	Cal Poly	http://stats.ncaa.org/team/90/14781
97	Cal St. Fullerton	http://stats.ncaa.org/team/97/14781
107	California	http://stats.ncaa.org/team/107/14781
30135	California Baptist	http://stats.ncaa.org/team/30135/14781
115	Campbell	http://stats.ncaa.org/team/115/14781
116	Canisius	http://stats.ncaa.org/team/116/14781
1004	Central Ark.	http://stats.ncaa.org/team/1004/14781
127	Central Conn. St.	http://stats.ncaa.org/team/127/14781
129	Central Mich.	http://stats.ncaa.org/team/129/14781
48	Charleston So.	http://stats.ncaa.org/team/48/14781
458	Charlotte	http://stats.ncaa.org/team/458/14781
136	Chicago St.	http://stats.ncaa.org/team/136/14781
140	Cincinnati	http://stats.ncaa.org/team/140/14781
147	Clemson	http://stats.ncaa.org/team/147/14781
149	Coastal Caro.	http://stats.ncaa.org/team/149/14781
1014	Col. of Charleston	http://stats.ncaa.org/team/1014/14781
158	Columbia	http://stats.ncaa.org/team/158/14781
165	Coppin St.	http://stats.ncaa.org/team/165/14781
167	Cornell	http://stats.ncaa.org/team/167/14781
169	Creighton	http://stats.ncaa.org/team/169/14781
1045	DBU	http://stats.ncaa.org/team/1045/14781
172	Dartmouth	http://stats.ncaa.org/team/172/14781
173	Davidson	http://stats.ncaa.org/team/173/14781
175	Dayton	http://stats.ncaa.org/team/175/14781
180	Delaware	http://stats.ncaa.org/team/180/14781
178	Delaware St.	http://stats.ncaa.org/team/178/14781
193	Duke	http://stats.ncaa.org/team/193/14781
198	ETSU	http://stats.ncaa.org/team/198/14781
196	East Carolina	http://stats.ncaa.org/team/196/14781
201	Eastern Ill.	http://stats.ncaa.org/team/201/14781
202	Eastern Ky.	http://stats.ncaa.org/team/202/14781
204	Eastern Mich.	http://stats.ncaa.org/team/204/14781
1068	Elon	http://stats.ncaa.org/team/1068/14781
219	Evansville	http://stats.ncaa.org/team/219/14781
28755	FGCU	http://stats.ncaa.org/team/28755/14781
231	FIU	http://stats.ncaa.org/team/231/14781
220	Fairfield	http://stats.ncaa.org/team/220/14781
222	Fairleigh Dickinson	http://stats.ncaa.org/team/222/14781
229	Fla. Atlantic	http://stats.ncaa.org/team/229/14781
235	Florida	http://stats.ncaa.org/team/235/14781
228	Florida A&M	http://stats.ncaa.org/team/228/14781
234	Florida St.	http://stats.ncaa.org/team/234/14781
236	Fordham	http://stats.ncaa.org/team/236/14781
96	Fresno St.	http://stats.ncaa.org/team/96/14781
244	Furman	http://stats.ncaa.org/team/244/14781
253	Ga. Southern	http://stats.ncaa.org/team/253/14781
1092	Gardner-Webb	http://stats.ncaa.org/team/1092/14781
248	George Mason	http://stats.ncaa.org/team/248/14781
249	George Washington	http://stats.ncaa.org/team/249/14781
251	Georgetown	http://stats.ncaa.org/team/251/14781
257	Georgia	http://stats.ncaa.org/team/257/14781
254	Georgia St.	http://stats.ncaa.org/team/254/14781
255	Georgia Tech	http://stats.ncaa.org/team/255/14781
260	Gonzaga	http://stats.ncaa.org/team/260/14781
261	Grambling	http://stats.ncaa.org/team/261/14781
1104	Grand Canyon	http://stats.ncaa.org/team/1104/14781
272	Hartford	http://stats.ncaa.org/team/272/14781
275	Harvard	http://stats.ncaa.org/team/275/14781
277	Hawaii	http://stats.ncaa.org/team/277/14781
19651	High Point	http://stats.ncaa.org/team/19651/14781
283	Hofstra	http://stats.ncaa.org/team/283/14781
285	Holy Cross	http://stats.ncaa.org/team/285/14781
288	Houston	http://stats.ncaa.org/team/288/14781
287	Houston Baptist	http://stats.ncaa.org/team/287/14781
301	Illinois	http://stats.ncaa.org/team/301/14781
299	Illinois St.	http://stats.ncaa.org/team/299/14781
2743	Incarnate Word	http://stats.ncaa.org/team/2743/14781
306	Indiana	http://stats.ncaa.org/team/306/14781
305	Indiana St.	http://stats.ncaa.org/team/305/14781
310	Iona	http://stats.ncaa.org/team/310/14781
312	Iowa	http://stats.ncaa.org/team/312/14781
314	Jackson St.	http://stats.ncaa.org/team/314/14781
316	Jacksonville	http://stats.ncaa.org/team/316/14781
315	Jacksonville St.	http://stats.ncaa.org/team/315/14781
317	James Madison	http://stats.ncaa.org/team/317/14781
328	Kansas	http://stats.ncaa.org/team/328/14781
327	Kansas St.	http://stats.ncaa.org/team/327/14781
1157	Kennesaw St.	http://stats.ncaa.org/team/1157/14781
331	Kent St.	http://stats.ncaa.org/team/331/14781
334	Kentucky	http://stats.ncaa.org/team/334/14781
361	LIU Brooklyn	http://stats.ncaa.org/team/361/14781
365	LSU	http://stats.ncaa.org/team/365/14781
340	La Salle	http://stats.ncaa.org/team/340/14781
498	La.-Monroe	http://stats.ncaa.org/team/498/14781
342	Lafayette	http://stats.ncaa.org/team/342/14781
346	Lamar University	http://stats.ncaa.org/team/346/14781
352	Lehigh	http://stats.ncaa.org/team/352/14781
355	Liberty	http://stats.ncaa.org/team/355/14781
28600	Lipscomb	http://stats.ncaa.org/team/28600/14781
32	Little Rock	http://stats.ncaa.org/team/32/14781
99	Long Beach St.	http://stats.ncaa.org/team/99/14781
363	Longwood	http://stats.ncaa.org/team/363/14781
671	Louisiana	http://stats.ncaa.org/team/671/14781
366	Louisiana Tech	http://stats.ncaa.org/team/366/14781
367	Louisville	http://stats.ncaa.org/team/367/14781
370	Loyola Marymount	http://stats.ncaa.org/team/370/14781
380	Maine	http://stats.ncaa.org/team/380/14781
381	Manhattan	http://stats.ncaa.org/team/381/14781
386	Marist	http://stats.ncaa.org/team/386/14781
388	Marshall	http://stats.ncaa.org/team/388/14781
392	Maryland	http://stats.ncaa.org/team/392/14781
400	Massachusetts	http://stats.ncaa.org/team/400/14781
402	McNeese	http://stats.ncaa.org/team/402/14781
404	Memphis	http://stats.ncaa.org/team/404/14781
406	Mercer	http://stats.ncaa.org/team/406/14781
415	Miami (FL)	http://stats.ncaa.org/team/415/14781
414	Miami (OH)	http://stats.ncaa.org/team/414/14781
418	Michigan	http://stats.ncaa.org/team/418/14781
416	Michigan St.	http://stats.ncaa.org/team/416/14781
419	Middle Tenn.	http://stats.ncaa.org/team/419/14781
797	Milwaukee	http://stats.ncaa.org/team/797/14781
428	Minnesota	http://stats.ncaa.org/team/428/14781
430	Mississippi St.	http://stats.ncaa.org/team/430/14781
432	Mississippi Val.	http://stats.ncaa.org/team/432/14781
434	Missouri	http://stats.ncaa.org/team/434/14781
669	Missouri St.	http://stats.ncaa.org/team/669/14781
439	Monmouth	http://stats.ncaa.org/team/439/14781
444	Morehead St.	http://stats.ncaa.org/team/444/14781
450	Mount St. Mary's	http://stats.ncaa.org/team/450/14781
454	Murray St.	http://stats.ncaa.org/team/454/14781
488	N.C. A&T	http://stats.ncaa.org/team/488/14781
489	N.C. Central	http://stats.ncaa.org/team/489/14781
490	NC State	http://stats.ncaa.org/team/490/14781
471	NJIT	http://stats.ncaa.org/team/471/14781
726	Navy	http://stats.ncaa.org/team/726/14781
463	Nebraska	http://stats.ncaa.org/team/463/14781
466	Nevada	http://stats.ncaa.org/team/466/14781
473	New Mexico	http://stats.ncaa.org/team/473/14781
472	New Mexico St.	http://stats.ncaa.org/team/472/14781
474	New Orleans	http://stats.ncaa.org/team/474/14781
482	Niagara	http://stats.ncaa.org/team/482/14781
483	Nicholls St.	http://stats.ncaa.org/team/483/14781
485	Norfolk St.	http://stats.ncaa.org/team/485/14781
487	North Ala.	http://stats.ncaa.org/team/487/14781
457	North Carolina	http://stats.ncaa.org/team/457/14781
493	North Dakota St.	http://stats.ncaa.org/team/493/14781
2711	North Florida	http://stats.ncaa.org/team/2711/14781
500	Northeastern	http://stats.ncaa.org/team/500/14781
502	Northern Colo.	http://stats.ncaa.org/team/502/14781
503	Northern Ill.	http://stats.ncaa.org/team/503/14781
505	Northern Ky.	http://stats.ncaa.org/team/505/14781
509	Northwestern	http://stats.ncaa.org/team/509/14781
508	Northwestern St.	http://stats.ncaa.org/team/508/14781
513	Notre Dame	http://stats.ncaa.org/team/513/14781
514	Oakland	http://stats.ncaa.org/team/514/14781
519	Ohio	http://stats.ncaa.org/team/519/14781
518	Ohio St.	http://stats.ncaa.org/team/518/14781
522	Oklahoma	http://stats.ncaa.org/team/522/14781
521	Oklahoma St.	http://stats.ncaa.org/team/521/14781
523	Old Dominion	http://stats.ncaa.org/team/523/14781
433	Ole Miss	http://stats.ncaa.org/team/433/14781
464	Omaha	http://stats.ncaa.org/team/464/14781
527	Oral Roberts	http://stats.ncaa.org/team/527/14781
529	Oregon	http://stats.ncaa.org/team/529/14781
528	Oregon St.	http://stats.ncaa.org/team/528/14781
534	Pacific	http://stats.ncaa.org/team/534/14781
540	Penn	http://stats.ncaa.org/team/540/14781
539	Penn St.	http://stats.ncaa.org/team/539/14781
541	Pepperdine	http://stats.ncaa.org/team/541/14781
545	Pittsburgh	http://stats.ncaa.org/team/545/14781
551	Portland	http://stats.ncaa.org/team/551/14781
553	Prairie View	http://stats.ncaa.org/team/553/14781
1320	Presbyterian	http://stats.ncaa.org/team/1320/14781
554	Princeton	http://stats.ncaa.org/team/554/14781
559	Purdue	http://stats.ncaa.org/team/559/14781
308	Purdue Fort Wayne	http://stats.ncaa.org/team/308/14781
562	Quinnipiac	http://stats.ncaa.org/team/562/14781
563	Radford	http://stats.ncaa.org/team/563/14781
572	Rhode Island	http://stats.ncaa.org/team/572/14781
574	Rice	http://stats.ncaa.org/team/574/14781
575	Richmond	http://stats.ncaa.org/team/575/14781
576	Rider	http://stats.ncaa.org/team/576/14781
587	Rutgers	http://stats.ncaa.org/team/587/14781
676	SFA	http://stats.ncaa.org/team/676/14781
660	SIUE	http://stats.ncaa.org/team/660/14781
102	Sacramento St.	http://stats.ncaa.org/team/102/14781
590	Sacred Heart	http://stats.ncaa.org/team/590/14781
606	Saint Joseph's	http://stats.ncaa.org/team/606/14781
609	Saint Louis	http://stats.ncaa.org/team/609/14781
610	Saint Mary's (CA)	http://stats.ncaa.org/team/610/14781
617	Saint Peter's	http://stats.ncaa.org/team/617/14781
624	Sam Houston St.	http://stats.ncaa.org/team/624/14781
625	Samford	http://stats.ncaa.org/team/625/14781
627	San Diego	http://stats.ncaa.org/team/627/14781
626	San Diego St.	http://stats.ncaa.org/team/626/14781
629	San Francisco	http://stats.ncaa.org/team/629/14781
630	San Jose St.	http://stats.ncaa.org/team/630/14781
631	Santa Clara	http://stats.ncaa.org/team/631/14781
632	Savannah St.	http://stats.ncaa.org/team/632/14781
1356	Seattle U	http://stats.ncaa.org/team/1356/14781
635	Seton Hall	http://stats.ncaa.org/team/635/14781
639	Siena	http://stats.ncaa.org/team/639/14781
646	South Alabama	http://stats.ncaa.org/team/646/14781
648	South Carolina	http://stats.ncaa.org/team/648/14781
649	South Dakota St.	http://stats.ncaa.org/team/649/14781
651	South Fla.	http://stats.ncaa.org/team/651/14781
654	Southeast Mo. St.	http://stats.ncaa.org/team/654/14781
655	Southeastern La.	http://stats.ncaa.org/team/655/14781
657	Southern California	http://stats.ncaa.org/team/657/14781
659	Southern Ill.	http://stats.ncaa.org/team/659/14781
664	Southern Miss.	http://stats.ncaa.org/team/664/14781
665	Southern U.	http://stats.ncaa.org/team/665/14781
596	St. Bonaventure	http://stats.ncaa.org/team/596/14781
603	St. John's (NY)	http://stats.ncaa.org/team/603/14781
674	Stanford	http://stats.ncaa.org/team/674/14781
678	Stetson	http://stats.ncaa.org/team/678/14781
683	Stony Brook	http://stats.ncaa.org/team/683/14781
698	TCU	http://stats.ncaa.org/team/698/14781
694	Tennessee	http://stats.ncaa.org/team/694/14781
692	Tennessee Tech	http://stats.ncaa.org/team/692/14781
703	Texas	http://stats.ncaa.org/team/703/14781
697	Texas A&M	http://stats.ncaa.org/team/697/14781
699	Texas Southern	http://stats.ncaa.org/team/699/14781
670	Texas St.	http://stats.ncaa.org/team/670/14781
700	Texas Tech	http://stats.ncaa.org/team/700/14781
141	The Citadel	http://stats.ncaa.org/team/141/14781
709	Toledo	http://stats.ncaa.org/team/709/14781
711	Towson	http://stats.ncaa.org/team/711/14781
716	Troy	http://stats.ncaa.org/team/716/14781
718	Tulane	http://stats.ncaa.org/team/718/14781
9	UAB	http://stats.ncaa.org/team/9/14781
108	UC Davis	http://stats.ncaa.org/team/108/14781
109	UC Irvine	http://stats.ncaa.org/team/109/14781
111	UC Riverside	http://stats.ncaa.org/team/111/14781
104	UC Santa Barbara	http://stats.ncaa.org/team/104/14781
128	UCF	http://stats.ncaa.org/team/128/14781
110	UCLA	http://stats.ncaa.org/team/110/14781
164	UConn	http://stats.ncaa.org/team/164/14781
302	UIC	http://stats.ncaa.org/team/302/14781
391	UMBC	http://stats.ncaa.org/team/391/14781
393	UMES	http://stats.ncaa.org/team/393/14781
368	UMass Lowell	http://stats.ncaa.org/team/368/14781
456	UNC Asheville	http://stats.ncaa.org/team/456/14781
459	UNC Greensboro	http://stats.ncaa.org/team/459/14781
460	UNCW	http://stats.ncaa.org/team/460/14781
465	UNLV	http://stats.ncaa.org/team/465/14781
10411	USC Upstate	http://stats.ncaa.org/team/10411/14781
702	UT Arlington	http://stats.ncaa.org/team/702/14781
695	UT Martin	http://stats.ncaa.org/team/695/14781
536	UTRGV	http://stats.ncaa.org/team/536/14781
706	UTSA	http://stats.ncaa.org/team/706/14781
732	Utah	http://stats.ncaa.org/team/732/14781
30024	Utah Valley	http://stats.ncaa.org/team/30024/14781
740	VCU	http://stats.ncaa.org/team/740/14781
741	VMI	http://stats.ncaa.org/team/741/14781
735	Valparaiso	http://stats.ncaa.org/team/735/14781
736	Vanderbilt	http://stats.ncaa.org/team/736/14781
739	Villanova	http://stats.ncaa.org/team/739/14781
746	Virginia	http://stats.ncaa.org/team/746/14781
742	Virginia Tech	http://stats.ncaa.org/team/742/14781
748	Wagner	http://stats.ncaa.org/team/748/14781
749	Wake Forest	http://stats.ncaa.org/team/749/14781
756	Washington	http://stats.ncaa.org/team/756/14781
754	Washington St.	http://stats.ncaa.org/team/754/14781
768	West Virginia	http://stats.ncaa.org/team/768/14781
769	Western Caro.	http://stats.ncaa.org/team/769/14781
771	Western Ill.	http://stats.ncaa.org/team/771/14781
772	Western Ky.	http://stats.ncaa.org/team/772/14781
774	Western Mich.	http://stats.ncaa.org/team/774/14781
782	Wichita St.	http://stats.ncaa.org/team/782/14781
786	William & Mary	http://stats.ncaa.org/team/786/14781
792	Winthrop	http://stats.ncaa.org/team/792/14781
2915	Wofford	http://stats.ncaa.org/team/2915/14781
810	Wright St.	http://stats.ncaa.org/team/810/14781
812	Xavier	http://stats.ncaa.org/team/812/14781
813	Yale	http://stats.ncaa.org/team/813/14781
817	Youngstown St.	http://stats.ncaa.org/team/817/14781
